fips	type	county	county_abbr	state	state_abbr	region	vulnerability	latitude	longitude	population	pph
1001	county	Autauga County	Autauga	Alabama	AL	4	12.01531176	32.536382	-86.64449	55347	2.71
1003	county	Baldwin County	Baldwin	Alabama	AL	4	13.02237388	30.659218	-87.746067	203709	2.52
1005	county	Barbour County	Barbour	Alabama	AL	4	17.54148853	31.87067	-85.405456	26489	2.66
1007	county	Bibb County	Bibb	Alabama	AL	4	14.63860417	33.015893	-87.127148	22583	3.03
1009	county	Blount County	Blount	Alabama	AL	4	13.89446955	33.977448	-86.567246	57673	2.7
1011	county	Bullock County	Bullock	Alabama	AL	4	19.29715903	32.101759	-85.717261	10696	2.73
1013	county	Butler County	Butler	Alabama	AL	4	18.27026691	31.751667	-86.681969	20154	2.47
1015	county	Calhoun County	Calhoun	Alabama	AL	4	15.31686063	33.771706	-85.822513	115620	2.54
1017	county	Chambers County	Chambers	Alabama	AL	4	16.65177327	32.917943	-85.391812	34123	2.46
1019	county	Cherokee County	Cherokee	Alabama	AL	4	16.30171994	34.069515	-85.654242	25859	2.2
1021	county	Chilton County	Chilton	Alabama	AL	4	14.73141701	32.854059	-86.726627	43943	2.67
1023	county	Choctaw County	Choctaw	Alabama	AL	4	17.70005589	31.991008	-88.248887	13170	2.45
1025	county	Clarke County	Clarke	Alabama	AL	4	16.45699784	31.685521	-87.818624	24675	2.63
1027	county	Clay County	Clay	Alabama	AL	4	15.80212733	33.267809	-85.862051	13555	2.38
1029	county	Cleburne County	Cleburne	Alabama	AL	4	15.10673823	33.671981	-85.516109	15018	2.64
1031	county	Coffee County	Coffee	Alabama	AL	4	14.59820747	31.402183	-85.989201	51211	2.65
1033	county	Colbert County	Colbert	Alabama	AL	4	14.96618793	34.703112	-87.801457	54354	2.42
1035	county	Conecuh County	Conecuh	Alabama	AL	4	19.42210945	31.428292	-86.992029	12672	2.61
1037	county	Coosa County	Coosa	Alabama	AL	4	15.67736756	32.931445	-86.243482	10724	2.42
1039	county	Covington County	Covington	Alabama	AL	4	16.53304113	31.243987	-86.448721	37835	2.48
1041	county	Crenshaw County	Crenshaw	Alabama	AL	4	16.11554209	31.732826	-86.319222	13963	2.46
1043	county	Cullman County	Cullman	Alabama	AL	4	14.04035704	34.131923	-86.869267	82005	2.53
1045	county	Dale County	Dale	Alabama	AL	4	15.43072183	31.430654	-85.609476	49565	2.52
1047	county	Dallas County	Dallas	Alabama	AL	4	18.54916428	32.33354	-87.114356	41131	2.63
1049	county	DeKalb County	DeKalb	Alabama	AL	4	14.46989857	34.460929	-85.803992	71130	2.82
1051	county	Elmore County	Elmore	Alabama	AL	4	11.84597204	32.597229	-86.142738	81468	2.62
1053	county	Escambia County	Escambia	Alabama	AL	4	17.40584564	31.121747	-87.168429	37789	2.59
1055	county	Etowah County	Etowah	Alabama	AL	4	15.51502496	34.047638	-86.03442	103057	2.55
1057	county	Fayette County	Fayette	Alabama	AL	4	17.44765195	33.732249	-87.752049	16759	2.41
1059	county	Franklin County	Franklin	Alabama	AL	4	16.43417743	34.441988	-87.842815	31696	2.52
1061	county	Geneva County	Geneva	Alabama	AL	4	17.59958196	31.090866	-85.824346	26777	2.43
1063	county	Greene County	Greene	Alabama	AL	4	20.10359057	32.844497	-87.9642	8479	2.72
1065	county	Hale County	Hale	Alabama	AL	4	17.26040956	32.752796	-87.623061	15068	2.56
1067	county	Henry County	Henry	Alabama	AL	4	15.38102958	31.516978	-85.239971	17221	2.44
1069	county	Houston County	Houston	Alabama	AL	4	14.22149789	31.158193	-85.296398	104173	2.58
1071	county	Jackson County	Jackson	Alabama	AL	4	14.50964786	34.763522	-85.9774	52419	2.53
1073	county	Jefferson County	Jefferson	Alabama	AL	4	13.42588356	33.553444	-86.896536	660367	2.48
1075	county	Lamar County	Lamar	Alabama	AL	4	17.56658576	33.787085	-88.087431	13886	2.32
1077	county	Lauderdale County	Lauderdale	Alabama	AL	4	14.22597032	34.904122	-87.650997	92596	2.36
1079	county	Lawrence County	Lawrence	Alabama	AL	4	14.88126524	34.529776	-87.321865	33115	2.52
1081	county	Lee County	Lee	Alabama	AL	4	12.19867537	32.604064	-85.353048	156993	2.49
1083	county	Limestone County	Limestone	Alabama	AL	4	12.05273483	34.810239	-86.981399	91663	2.56
1085	county	Lowndes County	Lowndes	Alabama	AL	4	19.92599067	32.147888	-86.650586	10458	2.61
1087	county	Macon County	Macon	Alabama	AL	4	18.23486599	32.387027	-85.692887	19105	2.29
1089	county	Madison County	Madison	Alabama	AL	4	11.45353316	34.764238	-86.55108	353089	2.5
1091	county	Marengo County	Marengo	Alabama	AL	4	19.57202017	32.247591	-87.791091	20028	2.42
1093	county	Marion County	Marion	Alabama	AL	4	17.17703376	34.138219	-87.881551	30168	2.34
1095	county	Marshall County	Marshall	Alabama	AL	4	14.57286159	34.309564	-86.321668	94725	2.7
1097	county	Mobile County	Mobile	Alabama	AL	4	14.18764428	30.684573	-88.196568	415395	2.6
1099	county	Monroe County	Monroe	Alabama	AL	4	17.18652947	31.580332	-87.383266	21673	2.71
1101	county	Montgomery County	Montgomery	Alabama	AL	4	14.70669282	32.20365	-86.203831	226519	2.49
1103	county	Morgan County	Morgan	Alabama	AL	4	13.42760747	34.454484	-86.846402	119565	2.55
1105	county	Perry County	Perry	Alabama	AL	4	21.93183745	32.639005	-87.293827	9652	2.84
1107	county	Pickens County	Pickens	Alabama	AL	4	17.7330037	33.296808	-88.096878	20864	2.42
1109	county	Pike County	Pike	Alabama	AL	4	15.10895115	31.798726	-85.941997	33046	2.4
1111	county	Randolph County	Randolph	Alabama	AL	4	16.45164993	33.296475	-85.464068	22696	2.48
1113	county	Russell County	Russell	Alabama	AL	4	16.17540782	32.289811	-85.18698	59660	2.6
1115	county	St. Clair County	St. Clair	Alabama	AL	4	12.75846808	33.712963	-86.315663	87074	2.63
1117	county	Shelby County	Shelby	Alabama	AL	4	9.494219334	33.262937	-86.678104	208713	2.64
1119	county	Sumter County	Sumter	Alabama	AL	4	20.63050491	32.597481	-88.200057	13103	2.57
1121	county	Talladega County	Talladega	Alabama	AL	4	15.06344744	33.369277	-86.175805	80862	2.5
1123	county	Tallapoosa County	Tallapoosa	Alabama	AL	4	16.16150346	32.863369	-85.799553	40844	2.49
1125	county	Tuscaloosa County	Tuscaloosa	Alabama	AL	4	11.84003915	33.290202	-87.52286	203976	2.76
1127	county	Walker County	Walker	Alabama	AL	4	17.18956447	33.791571	-87.301092	65294	2.55
1129	county	Washington County	Washington	Alabama	AL	4	15.84036306	31.406974	-88.202078	16804	2.59
1131	county	Wilcox County	Wilcox	Alabama	AL	4	17.74335704	31.99033	-87.302205	11059	2.9
1133	county	Winston County	Winston	Alabama	AL	4	17.42032362	34.155888	-87.364147	23877	2.52
2013	county	Aleutians East Borough	Aleutians East	Alaska	AK	10	17.97273759	55.243722	-161.950749	3341	2.46
2016	county	Aleutians West Census Area	Aleutians West	Alaska	AK	10	10.84354839	51.959447	178.338813	5702	3.52
2020	county	Anchorage Municipality	Anchorage	Alaska	AK	10	9.50114791	61.177549	-149.274354	298695	2.73
2050	county	Bethel Census Area	Bethel	Alaska	AK	10	19.07991536	60.928916	-160.15335	17946	3.9
2060	county	Bristol Bay Borough	Bristol Bay	Alaska	AK	10	8.614750849	58.731372	-156.986612	892	2.42
2068	county	Denali Borough	Denali	Alaska	AK	10	7.525414217	63.682732	-150.026719	1919	2.26
2070	county	Dillingham Census Area	Dillingham	Alaska	AK	10	16.11410891	59.824816	-158.602233	4997	3.59
2090	county	Fairbanks North Star Borough	Fairbanks North Star	Alaska	AK	10	8.909283525	64.690832	-146.599867	99631	2.67
