Timeline Event	Stakeholder	Stakeholder Role	Secondary Role
Case identified	Ministry of Health	governance and policy	public health and medical
Case identified	Local NGOs	public health and medical	humanitarian aid
Case identified	Public sector healthcare providers	public health and medical	
Case identified	Private sector healthcare providers	public health and medical	
Case identified	Ministry of Agriculture or Livestock	governance and policy	public health and medical
Case identified	Ministry of Environment	governance and policy	
Case identified	Veterinary care providers	public health and medical	
Case identified	Ministry of Commerce	governance and policy	
Case identified	Regional and local law enforcement	safety and security	
Agent identified	World Health Organization (WHO)	public health and medical	
Agent identified	Ministry of Health	governance and policy	public health and medical
Agent identified	Public sector healthcare providers	public health and medical	
Agent identified	Private sector healthcare providers	public health and medical	
Agent identified	Laboratory professionals	public health and medical	
Agent identified	Veterinary care providers	public health and medical	
Agent identified	Ministry of Agriculture or Livestock	governance and policy	public health and medical
Agent identified	Ministry of Environment	governance and policy	
Agent identified	Ministry of Commerce	governance and policy	
Agent identified	Local NGOs	public health and medical; humanitarian aid	
Agent identified	World Organisation for Animal Health (OIE)	public health and medical	
Agent identified	Regional and local law enforcement	safety and security	
Agent identified	Biotechnology Companies	public health and medical	
Agent identified	Laboratory professionals	public health and medical	
Agent identified	Pharmaceutical Companies	public health and medical	
Agent identified	National and regional militaries	safety and security	
Humanitarian response	Public sector healthcare providers	public health and medical	
Humanitarian response	Private sector healthcare providers	public health and medical	
Humanitarian response	Local NGOs	public health and medical; humanitarian aid	
Humanitarian response	International NGOs	public health and medical; humanitarian aid	
Humanitarian response	Regional and local law enforcement	safety and security	
Humanitarian response	World Health Organization (WHO)	public health and medical	humanitarian aid
Humanitarian response	Ministry of Health	governance and policy	public health and medical
Humanitarian response	Veterinary care providers	public health and medical	
Humanitarian response	Ministry of Agriculture or Livestock	governance and policy	public health and medical
Humanitarian response	Ministry of Environment	governance and policy	
Humanitarian response	Ministry of Commerce	governance and policy	
Humanitarian response	World Organisation for Animal Health (OIE)	public health and medical	
Humanitarian response	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	governance and policy; humanitarian aid	
Humanitarian response	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
Humanitarian response	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
Humanitarian response	World Food Programme (WFP)	humanitarian aid	
Humanitarian response	United Nations High Commissioner for Refugees (UNHCR)	governance and policy	humanitarian aid
Humanitarian response	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
Humanitarian response	National and regional militaries	safety and security	
Suspicion of deliberate use	UN General Assembly (UNGA)	governance and policy	
Suspicion of deliberate use	United Nations Secretary-General's Mechanism (UNSGM)	governance and policy	safety and security
Suspicion of deliberate use	Organisation for the Prohibition of Chemical Weapons (OPCW)	governance and policy	safety and security
Suspicion of deliberate use	International Criminal Police Organization (INTERPOL)	safety and security	
Suspicion of deliberate use	United Nations Security Council (UNSC) 1540 Committee	governance and policy	safety and security
Suspicion of deliberate use	United Nations Office for Disarmament Affairs (UNODA)	governance and policy	safety and security
Suspicion of deliberate use	Biological Weapons Convention Implementation Support Unit (BWC ISU)	governance and policy	safety and security
Suspicion of deliberate use	Member States (non-affected)	public health and medical; humanitarian aid	
Suspicion of deliberate use	United Nations Interregional Crime and Justice Research Institute (UNICRI)	governance and policy	
Suspicion of deliberate use	United Nations Institute for Disarmament Research (UNIDIR)	governance and policy	
Suspicion of deliberate use	Ministry of Health	governance and policy	public health and medical
Suspicion of deliberate use	Public sector healthcare providers	public health and medical	
Suspicion of deliberate use	Private sector healthcare providers	public health and medical	
Suspicion of deliberate use	UN Office of Counter-Terrorism (OCT)	governance and policy	safety and security
Suspicion of deliberate use	Veterinary care providers	public health and medical	
Suspicion of deliberate use	Ministry of Agriculture or Livestock	governance and policy	public health and medical
Suspicion of deliberate use	Ministry of Environment	governance and policy	
Suspicion of deliberate use	Ministry of Commerce	governance and policy	
Suspicion of deliberate use	United Nations Department of Public Information (UNDPI)	governance and policy	
Suspicion of deliberate use	National and regional militaries	safety and security	governance and policy
Suspicion of deliberate use	Regional and local law enforcement	safety and security	
Suspicion of deliberate use	Local NGOs	public health and medical; humanitarian aid	
Suspicion of deliberate use	International NGOs	public health and medical; humanitarian aid	
Suspicion of deliberate use	World Organisation for Animal Health (OIE)	public health and medical	
Suspicion of deliberate use	World Health Organization (WHO)	public health and medical	humanitarian aid
Suspicion of deliberate use	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
Suspicion of deliberate use	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
Suspicion of deliberate use	World Food Programme (WFP)	humanitarian aid	
Suspicion of deliberate use	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
Suspicion of deliberate use	United Nations Department for Safety and Security (UNDSS)	safety and security	
Suspicion of deliberate use	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
Suspicion of deliberate use	United Nations Secretary General (UNSG)	governance and policy	
Suspicion of deliberate use	Counter-Terrorism Implementation Task Force (CTITF)	governance and policy	safety and security
Suspicion of deliberate use	Laboratory professionals	public health and medical	
Investigative response	United Nations Secretary-General's Mechanism (UNSGM)	governance and policy	safety and security
Investigative response	Organisation for the Prohibition of Chemical Weapons (OPCW)	governance and policy	safety and security
Investigative response	International Criminal Police Organization (INTERPOL)	safety and security	
Investigative response	United Nations Security Council (UNSC) 1540 Committee	governance and policy	safety and security
Investigative response	United Nations Office for Disarmament Affairs (UNODA)	governance and policy	safety and security
Investigative response	Biological Weapons Convention Implementation Support Unit (BWC ISU)	governance and policy	safety and security
Investigative response	Member States (non-affected)	public health and medical; humanitarian aid	
Investigative response	UN Office of Counter-Terrorism (OCT)	governance and policy	safety and security
Investigative response	United Nations Interregional Crime and Justice Research Institute (UNICRI)	governance and policy	safety and security
Investigative response	United Nations Institute for Disarmament Research (UNIDIR)	governance and policy	
Investigative response	Ministry of Health	governance and policy	public health and medical
Investigative response	Public sector healthcare providers	public health and medical	
Investigative response	Private sector healthcare providers	public health and medical	
Investigative response	Veterinary care providers	public health and medical	
Investigative response	Ministry of Agriculture or Livestock	governance and policy	public health and medical
Investigative response	Ministry of Environment	governance and policy	
Investigative response	Ministry of Commerce	governance and policy	
Investigative response	United Nations Department of Public Information (UNDPI)	governance and policy	
Investigative response	National and regional militaries	safety and security	governance and policy
Investigative response	Regional and local law enforcement	safety and security	
Investigative response	World Organisation for Animal Health (OIE)	public health and medical	
Investigative response	World Health Organization (WHO)	public health and medical	humanitarian aid
Investigative response	Counter-Terrorism Implementation Task Force (CTITF)	governance and policy	safety and security
Investigative response	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
Investigative response	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
Investigative response	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
Investigative response	United Nations Department for Safety and Security (UNDSS)	safety and security	
Investigative response	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
Investigative response	United Nations Secretary General (UNSG)	governance and policy	
Investigative response	UN General Assembly (UNGA)	governance and policy	
Investigative response	Laboratory professionals	public health and medical	
State request for assistance	Ministry of Health	governance and policy	public health and medical
State request for assistance	Public sector healthcare providers	public health and medical	
State request for assistance	Private sector healthcare providers	public health and medical	
State request for assistance	Ministry of Agriculture or Livestock	governance and policy	public health and medical
State request for assistance	Ministry of Environment	governance and policy	
State request for assistance	Veterinary care providers	public health and medical	
State request for assistance	Ministry of Commerce	governance and policy	
State request for assistance	Regional and local law enforcement	safety and security	
State request for assistance	Member States (non-affected)	public health and medical; humanitarian aid	
State request for assistance	Counter-Terrorism Implementation Task Force (CTITF)	governance and policy	safety and security
State request for assistance	International Criminal Police Organization (INTERPOL)	safety and security	
State request for assistance	UN Office of Counter-Terrorism (OCT)	governance and policy	safety and security
State request for assistance	Local NGOs	public health and medical; humanitarian aid	
State request for assistance	International NGOs	public health and medical; humanitarian aid	
State request for assistance	World Organisation for Animal Health (OIE)	public health and medical	
State request for assistance	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
State request for assistance	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
State request for assistance	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
State request for assistance	World Health Organization (WHO)	public health and medical	humanitarian aid
State request for assistance	World Bank Group (WBG)	humanitarian aid	
State request for assistance	World Customs Organization (WCO)	governance and policy	
State request for assistance	World Food Programme (WFP)	humanitarian aid	
State request for assistance	United Nations Department for Safety and Security (UNDSS)	safety and security	
State request for assistance	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
State request for assistance	United Nations Department of Public Information (UNDPI)	governance and policy	
State request for assistance	National Academies	governance and policy	
State request for assistance	UN General Assembly (UNGA)	governance and policy	
State request for assistance	National and regional militaries	safety and security	
State request for assistance	Pharmaceutical Companies	public health and medical	
State request for assistance	Biotechnology Companies	public health and medical	
State request for assistance	"GAVI, the Vaccine Alliance"	public health and medical	
State request for assistance	Coalition for Epidemic Preparedness Innovations (CEPI)	public health and medical	
State request for assistance	Sabin Vaccine Institute	public health and medical	
State request for assistance	Laboratory professionals	public health and medical	
WHO Public Health Emergency declared	World Health Organization (WHO)	public health and medical	humanitarian aid
WHO Public Health Emergency declared	Ministry of Health	governance and policy	public health and medical
WHO Public Health Emergency declared	Public sector healthcare providers	public health and medical	
